Label,Total population,Total population!!AGE,Total population!!AGE!!Under 5 years,Total population!!AGE!!5 to 9 years,Total population!!AGE!!10 to 14 years,Total population!!AGE!!15 to 19 years,Total population!!AGE!!20 to 24 years,Total population!!AGE!!25 to 29 years,Total population!!AGE!!30 to 34 years,Total population!!AGE!!35 to 39 years,Total population!!AGE!!40 to 44 years,Total population!!AGE!!45 to 49 years,Total population!!AGE!!50 to 54 years,Total population!!AGE!!55 to 59 years,Total population!!AGE!!60 to 64 years,Total population!!AGE!!65 to 69 years,Total population!!AGE!!70 to 74 years,Total population!!AGE!!75 to 79 years,Total population!!AGE!!80 to 84 years,Total population!!AGE!!85 years and over,Total population!!SELECTED AGE CATEGORIES,Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Total population!!SELECTED AGE CATEGORIES!!Under 18 years,Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,Total population!!SELECTED AGE CATEGORIES!!16 years and over,Total population!!SELECTED AGE CATEGORIES!!18 years and over,Total population!!SELECTED AGE CATEGORIES!!21 years and over,Total population!!SELECTED AGE CATEGORIES!!60 years and over,Total population!!SELECTED AGE CATEGORIES!!62 years and over,Total population!!SELECTED AGE CATEGORIES!!65 years and over,Total population!!SELECTED AGE CATEGORIES!!75 years and over,Total population!!SUMMARY INDICATORS,Total population!!SUMMARY INDICATORS!!Median age (years),Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),Total population!!SUMMARY INDICATORS!!Age dependency ratio,Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,Total population!!SUMMARY INDICATORS!!Child dependency ratio,Total population!!PERCENT ALLOCATED,Total population!!PERCENT ALLOCATED!!Sex,Total population!!PERCENT ALLOCATED!!Age
        Estimate,(X),,4.90%,5.00%,5.50%,7.10%,7.10%,7.10%,5.80%,5.80%,5.60%,5.80%,6.60%,6.60%,8.30%,6.60%,5.20%,3.30%,2.10%,1.40%,,10.50%,3.70%,19.00%,10.50%,38.60%,83.30%,81.00%,75.70%,27.00%,23.70%,18.70%,6.80%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"314,825",,"14,011","15,693","15,030","21,156","21,102","18,775","17,975","17,511","17,865","18,833","20,969","23,703","24,786","20,937","17,786","12,433","6,432","9,828",,"30,723","9,977","54,711","32,281","114,384","267,514","260,114","243,870","92,202","81,991","67,416","28,693",,44.5,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,4.50%,5.00%,4.80%,6.70%,6.70%,6.00%,5.70%,5.60%,5.70%,6.00%,6.70%,7.50%,7.90%,6.70%,5.60%,3.90%,2.00%,3.10%,,9.80%,3.20%,17.40%,10.30%,36.30%,85.00%,82.60%,77.50%,29.30%,26.00%,21.40%,9.10%,,(X),(X),(X),(X),(X),,(X),(X)
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"8,535,519",,"499,906","504,065","543,494","555,996","559,301","595,190","579,465","593,379","534,773","541,735","554,159","571,897","543,823","432,999","376,642","237,432","159,276","151,987",,"1,047,559","310,140","1,857,605","805,157","3,418,104","6,880,704","6,677,914","6,320,168","1,902,159","1,674,921","1,358,336","548,695",,38.5,97,60.5,25.5,34.9,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.90%,5.90%,6.40%,6.50%,6.60%,7.00%,6.80%,7.00%,6.30%,6.30%,6.50%,6.70%,6.40%,5.10%,4.40%,2.80%,1.90%,1.80%,,12.30%,3.60%,21.80%,9.40%,40.00%,80.60%,78.20%,74.00%,22.30%,19.60%,15.90%,6.40%,,(X),(X),(X),(X),(X),,0.10%,1.30%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"4,201,799",,"257,151","262,942","276,286","287,233","292,730","301,591","288,033","298,306","265,659","267,292","268,129","274,482","261,465","202,502","171,676","107,302","64,929","54,091",,"539,228","158,958","955,337","421,005","1,733,552","3,351,088","3,246,462","3,060,736","861,965","753,956","600,500","226,322",,37.2,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.10%,6.30%,6.60%,6.80%,7.00%,7.20%,6.90%,7.10%,6.30%,6.40%,6.40%,6.50%,6.20%,4.80%,4.10%,2.60%,1.50%,1.30%,,12.80%,3.80%,22.70%,10.00%,41.30%,79.80%,77.30%,72.80%,20.50%,17.90%,14.30%,5.40%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"4,333,720",,"242,755","241,123","267,208","268,763","266,571","293,599","291,432","295,073","269,114","274,443","286,030","297,415","282,358","230,497","204,966","130,130","94,347","97,896",,"508,331","151,182","902,268","384,152","1,684,552","3,529,616","3,431,452","3,259,432","1,040,194","920,965","757,836","322,373",,40,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.60%,5.60%,6.20%,6.20%,6.20%,6.80%,6.70%,6.80%,6.20%,6.30%,6.60%,6.90%,6.50%,5.30%,4.70%,3.00%,2.20%,2.30%,,11.70%,3.50%,20.80%,8.90%,38.90%,81.40%,79.20%,75.20%,24.00%,21.30%,17.50%,7.40%,,(X),(X),(X),(X),(X),,(X),(X)
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"7,614,893",,"455,283","456,737","477,450","459,277","475,822","586,410","577,600","543,867","488,378","470,686","455,082","478,059","482,557","405,889","330,419","210,881","129,859","130,637",,"934,187","273,495","1,662,965","661,604","3,131,354","6,128,444","5,951,928","5,675,664","1,690,242","1,492,179","1,207,685","471,377",,37.9,100,60.5,25.5,35.1,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,6.00%,6.30%,6.00%,6.20%,7.70%,7.60%,7.10%,6.40%,6.20%,6.00%,6.30%,6.30%,5.30%,4.30%,2.80%,1.70%,1.70%,,12.30%,3.60%,21.80%,8.70%,41.10%,80.50%,78.20%,74.50%,22.20%,19.60%,15.90%,6.20%,,(X),(X),(X),(X),(X),,0.10%,1.30%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,807,572",,"233,396","234,976","243,772","231,808","250,643","303,403","299,813","279,352","244,506","238,386","227,446","230,545","238,686","194,079","153,713","98,371","56,888","47,789",,"478,748","136,745","848,889","345,706","1,609,525","3,048,180","2,958,683","2,812,803","789,526","689,443","550,840","203,048",,36.8,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.10%,6.20%,6.40%,6.10%,6.60%,8.00%,7.90%,7.30%,6.40%,6.30%,6.00%,6.10%,6.30%,5.10%,4.00%,2.60%,1.50%,1.30%,,12.60%,3.60%,22.30%,9.10%,42.30%,80.10%,77.70%,73.90%,20.70%,18.10%,14.50%,5.30%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,807,321",,"221,887","221,761","233,678","227,469","225,179","283,007","277,787","264,515","243,872","232,300","227,636","247,514","243,871","211,810","176,706","112,510","72,971","82,848",,"455,439","136,750","814,076","315,898","1,521,829","3,080,264","2,993,245","2,862,861","900,716","802,736","656,845","268,329",,39,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,5.80%,6.10%,6.00%,5.90%,7.40%,7.30%,6.90%,6.40%,6.10%,6.00%,6.50%,6.40%,5.60%,4.60%,3.00%,1.90%,2.20%,,12.00%,3.60%,21.40%,8.30%,40.00%,80.90%,78.60%,75.20%,23.70%,21.10%,17.30%,7.00%,,(X),(X),(X),(X),(X),,(X),(X)
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,792,147",,"91,548","98,494","104,920","109,763","106,336","112,648","98,619","107,506","112,393","112,153","114,539","121,475","134,353","118,588","98,938","66,461","41,303","42,110",,"203,414","63,856","358,818","152,243","647,265","1,476,688","1,433,329","1,365,932","501,753","450,826","367,400","149,874",,42.9,97.7,68.1,34.5,33.7,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.10%,5.50%,5.90%,6.10%,5.90%,6.30%,5.50%,6.00%,6.30%,6.30%,6.40%,6.80%,7.50%,6.60%,5.50%,3.70%,2.30%,2.30%,,11.40%,3.60%,20.00%,8.50%,36.10%,82.40%,80.00%,76.20%,28.00%,25.20%,20.50%,8.40%,,(X),(X),(X),(X),(X),,0.10%,1.10%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"885,861",,"46,664","48,286","56,691","53,955","56,112","58,292","49,731","55,869","54,659","57,090","57,431","60,187","63,657","56,989","47,660","31,037","17,235","14,316",,"104,977","31,522","183,163","78,545","328,618","723,977","702,698","668,867","230,894","207,398","167,237","62,588",,41.7,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.30%,5.50%,6.40%,6.10%,6.30%,6.60%,5.60%,6.30%,6.20%,6.40%,6.50%,6.80%,7.20%,6.40%,5.40%,3.50%,1.90%,1.60%,,11.90%,3.60%,20.70%,8.90%,37.10%,81.70%,79.30%,75.50%,26.10%,23.40%,18.90%,7.10%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"906,286",,"44,884","50,208","48,229","55,808","50,224","54,356","48,888","51,637","57,734","55,063","57,108","61,288","70,696","61,599","51,278","35,424","24,068","27,794",,"98,437","32,334","175,655","73,698","318,647","752,711","730,631","697,065","270,859","243,428","200,163","87,286",,44.3,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.00%,5.50%,5.30%,6.20%,5.50%,6.00%,5.40%,5.70%,6.40%,6.10%,6.30%,6.80%,7.80%,6.80%,5.70%,3.90%,2.70%,3.10%,,10.90%,3.60%,19.40%,8.10%,35.20%,83.10%,80.60%,76.90%,29.90%,26.90%,22.10%,9.60%,,(X),(X),(X),(X),(X),,(X),(X)
Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"5,822,434",,"327,258","344,543","368,646","380,127","386,575","375,461","361,854","377,391","337,045","345,863","373,430","415,388","408,957","337,445","260,506","175,294","120,538","126,113",,"713,189","222,965","1,263,412","543,737","2,218,453","4,707,424","4,559,022","4,317,545","1,428,853","1,263,529","1,019,896","421,945",,39.9,98.7,64.5,28.8,35.7,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.60%,5.90%,6.30%,6.50%,6.60%,6.40%,6.20%,6.50%,5.80%,5.90%,6.40%,7.10%,7.00%,5.80%,4.50%,3.00%,2.10%,2.20%,,12.20%,3.80%,21.70%,9.30%,38.10%,80.80%,78.30%,74.20%,24.50%,21.70%,17.50%,7.20%,,(X),(X),(X),(X),(X),,0.10%,0.80%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,892,804",,"167,449","171,682","190,598","195,330","198,067","193,800","184,034","191,455","168,119","173,322","186,150","204,851","202,485","163,343","124,894","79,634","52,902","44,689",,"362,280","115,232","644,961","278,165","1,130,805","2,324,091","2,247,843","2,124,480","667,947","586,306","465,462","177,225",,38.7,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.80%,5.90%,6.60%,6.80%,6.80%,6.70%,6.40%,6.60%,5.80%,6.00%,6.40%,7.10%,7.00%,5.60%,4.30%,2.80%,1.80%,1.50%,,12.50%,4.00%,22.30%,9.60%,39.10%,80.30%,77.70%,73.40%,23.10%,20.30%,16.10%,6.10%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"2,929,630",,"159,809","172,861","178,048","184,797","188,508","181,661","177,820","185,936","168,926","172,541","187,280","210,537","206,472","174,102","135,612","95,660","67,636","81,424",,"350,909","107,733","618,451","265,572","1,087,648","2,383,333","2,311,179","2,193,065","760,906","677,223","554,434","244,720",,41,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.50%,5.90%,6.10%,6.30%,6.40%,6.20%,6.10%,6.30%,5.80%,5.90%,6.40%,7.20%,7.00%,5.90%,4.60%,3.30%,2.30%,2.80%,,12.00%,3.70%,21.10%,9.10%,37.10%,81.40%,78.90%,74.90%,26.00%,23.10%,18.90%,8.40%,,(X),(X),(X),(X),(X),,(X),(X)
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"578,759",,"33,098","40,471","38,966","38,611","37,766","38,130","38,519","36,954","36,717","32,033","31,777","37,601","39,327","34,425","26,249","17,685","10,804","9,626",,"79,437","21,654","134,189","54,723","226,697","458,477","444,570","418,893","138,116","122,855","98,789","38,115",,38.1,104.7,67.4,28.6,38.8,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.70%,7.00%,6.70%,6.70%,6.50%,6.60%,6.70%,6.40%,6.30%,5.50%,5.50%,6.50%,6.80%,5.90%,4.50%,3.10%,1.90%,1.70%,,13.70%,3.70%,23.20%,9.50%,39.20%,79.20%,76.80%,72.40%,23.90%,21.20%,17.10%,6.60%,,(X),(X),(X),(X),(X),,0.10%,1.20%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"296,005",,"17,807","21,515","19,151","20,020","20,133","20,550","20,433","18,824","19,399","15,925","16,545","19,319","19,100","17,142","13,235","8,878","4,544","3,485",,"40,666","11,403","69,876","28,750","119,359","233,444","226,129","211,989","66,384","59,261","47,284","16,907",,37.2,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.00%,7.30%,6.50%,6.80%,6.80%,6.90%,6.90%,6.40%,6.60%,5.40%,5.60%,6.50%,6.50%,5.80%,4.50%,3.00%,1.50%,1.20%,,13.70%,3.90%,23.60%,9.70%,40.30%,78.90%,76.40%,71.60%,22.40%,20.00%,16.00%,5.70%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"282,754",,"15,291","18,956","19,815","18,591","17,633","17,580","18,086","18,130","17,318","16,108","15,232","18,282","20,227","17,283","13,014","8,807","6,260","6,141",,"38,771","10,251","64,313","25,973","107,338","225,033","218,441","206,904","71,732","63,594","51,505","21,208",,39.2,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.40%,6.70%,7.00%,6.60%,6.20%,6.20%,6.40%,6.40%,6.10%,5.70%,5.40%,6.50%,7.20%,6.10%,4.60%,3.10%,2.20%,2.20%,,13.70%,3.60%,22.70%,9.20%,38.00%,79.60%,77.30%,73.20%,25.40%,22.50%,18.20%,7.50%,,(X),(X),(X),(X),(X),,(X),(X)
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"3,193,694",,"115,403","153,900","189,662","208,460","224,534","203,972","181,558","188,853","206,339","204,546","208,377","215,519","212,906","193,754","172,738","130,418","95,927","86,828",,"343,562","113,769","572,734","319,225","1,213,716","2,699,404","2,620,960","2,480,442","892,571","805,090","679,665","313,173",,43.1,90.4,64.5,35,29.5,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,3.60%,4.80%,5.90%,6.50%,7.00%,6.40%,5.70%,5.90%,6.50%,6.40%,6.50%,6.70%,6.70%,6.10%,5.40%,4.10%,3.00%,2.70%,,10.80%,3.60%,17.90%,10.00%,38.00%,84.50%,82.10%,77.70%,27.90%,25.20%,21.30%,9.80%,,(X),(X),(X),(X),(X),,0.10%,2.10%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,515,994",,"57,254","77,310","97,536","106,148","114,376","103,147","86,130","90,358","98,016","98,969","95,405","100,616","95,474","87,857","77,112","57,541","38,763","33,982",,"174,846","59,550","291,650","160,974","598,175","1,264,910","1,224,344","1,152,253","390,729","351,536","295,255","130,286",,41.3,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,3.80%,5.10%,6.40%,7.00%,7.50%,6.80%,5.70%,6.00%,6.50%,6.50%,6.30%,6.60%,6.30%,5.80%,5.10%,3.80%,2.60%,2.20%,,11.50%,3.90%,19.20%,10.60%,39.50%,83.40%,80.80%,76.00%,25.80%,23.20%,19.50%,8.60%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"1,677,700",,"58,149","76,590","92,126","102,312","110,158","100,825","95,428","98,495","108,323","105,577","112,972","114,903","117,432","105,897","95,626","72,877","57,164","52,846",,"168,716","54,219","281,084","158,251","615,541","1,434,494","1,396,616","1,328,189","501,842","453,554","384,410","182,887",,44.8,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,3.50%,4.60%,5.50%,6.10%,6.60%,6.00%,5.70%,5.90%,6.50%,6.30%,6.70%,6.80%,7.00%,6.30%,5.70%,4.30%,3.40%,3.10%,,10.10%,3.20%,16.80%,9.40%,36.70%,85.50%,83.20%,79.20%,29.90%,27.00%,22.90%,10.90%,,(X),(X),(X),(X),(X),,(X),(X)
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"328,239,523",,"19,404,835","19,690,437","21,423,479","21,353,524","21,468,680","23,233,299","22,345,176","21,728,259","20,186,586","20,398,226","20,464,881","21,484,060","20,984,053","17,427,013","14,148,548","9,759,764","6,380,474","6,358,229",,"41,113,916","12,449,034","72,967,785","30,373,170","130,315,524","263,534,161","255,271,738","241,886,206","75,058,081","66,395,660","54,074,028","22,498,467",,38.5,97,63.1,26.9,36.3,,(X),(X)
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.90%,6.00%,6.50%,6.50%,6.50%,7.10%,6.80%,6.60%,6.10%,6.20%,6.20%,6.50%,6.40%,5.30%,4.30%,3.00%,1.90%,1.90%,,12.50%,3.80%,22.20%,9.30%,39.70%,80.30%,77.80%,73.70%,22.90%,20.20%,16.50%,6.90%,,(X),(X),(X),(X),(X),,0.10%,1.70%
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"161,588,973",,"9,938,937","10,033,518","10,987,313","10,903,653","11,014,460","11,817,829","11,281,470","10,892,040","10,028,675","10,079,567","10,075,795","10,440,265","10,051,170","8,191,111","6,529,918","4,367,764","2,671,396","2,284,092",,"21,020,831","6,361,859","37,321,627","15,556,254","65,938,127","128,496,159","124,267,346","117,407,269","34,095,451","29,927,016","24,044,281","9,323,252",,37.2,(X),(X),(X),(X),,(X),(X)
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,6.20%,6.20%,6.80%,6.70%,6.80%,7.30%,7.00%,6.70%,6.20%,6.20%,6.20%,6.50%,6.20%,5.10%,4.00%,2.70%,1.70%,1.40%,,13.00%,3.90%,23.10%,9.60%,40.80%,79.50%,76.90%,72.70%,21.10%,18.50%,14.90%,5.80%,,(X),(X),(X),(X),(X),,(X),(X)
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,"166,650,550",,"9,465,898","9,656,919","10,436,166","10,449,871","10,454,220","11,415,470","11,063,706","10,836,219","10,157,911","10,318,659","10,389,086","11,043,795","10,932,883","9,235,902","7,618,630","5,392,000","3,709,078","4,074,137",,"20,093,085","6,087,175","35,646,158","14,816,916","64,377,397","135,038,002","131,004,392","124,478,937","40,962,630","36,468,644","30,029,747","13,175,215",,39.8,(X),(X),(X),(X),,(X),(X)
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,(X),,5.70%,5.80%,6.30%,6.30%,6.30%,6.80%,6.60%,6.50%,6.10%,6.20%,6.20%,6.60%,6.60%,5.50%,4.60%,3.20%,2.20%,2.40%,,12.10%,3.70%,21.40%,8.90%,38.60%,81.00%,78.60%,74.70%,24.60%,21.90%,18.00%,7.90%,,(X),(X),(X),(X),(X),,(X),(X)
